,c4,c7,c9,c1,c10,c0,c15,c2,c11,c13,c3,c6,c12,c5,c14
c4,0.0,0.06646207624192495,0.17712205783403018,0.07110828244243524,0.046200353338369,0.09151930755181295,0.17494386390628552,0.043112796881518034,0.06735330077634409,0.1258196966862179,0.0292101375232085,0.03256636245054108,0.09707331440951983,0.022024248127832352,0.16534823616867445
c7,0.06646207624192495,0.0,0.2080210696391635,0.04950874280217128,0.08512287255848136,0.07579334601754445,0.20591673870660573,0.04593899259986453,0.1009901842182116,0.16099097687750685,0.05215234603828708,0.07755194053739595,0.13073741365275401,0.0755508447857544,0.19682724968902512
c9,0.17712205783403018,0.2080210696391635,0.0,0.2057734276973138,0.15587913717252577,0.20656947656640137,0.008005638793633946,0.19538285544079106,0.13977254109947074,0.0949870352646269,0.18843898973739437,0.1609093599513707,0.11891753924798297,0.16419158919809812,0.02223712958449081
c1,0.07110828244243524,0.04950874280217128,0.2057734276973138,0.0,0.098735990654555,0.03487645284949328,0.203569028217609,0.0317614676094154,0.11240130014176272,0.16709610097938993,0.0474177194329211,0.08935628888239924,0.13936140201844263,0.08373062487970413,0.19620356082010154
c10,0.046200353338369,0.08512287255848136,0.15587913717252577,0.098735990654555,0.0,0.1152067330651872,0.1540294428886493,0.07801164479150532,0.02663270087283761,0.0958575195166891,0.06754103438385627,0.015722858443729282,0.06303841888409013,0.027602240344187554,0.14273664241618048
c0,0.09151930755181295,0.07579334601754445,0.20656947656640137,0.03487645284949328,0.1152067330651872,0.0,0.20419537633432747,0.059353040779162855,0.12621034423756983,0.1771141264449696,0.07191674844223934,0.10684877404473755,0.1513921931789002,0.1013805096947731,0.19873274794222778
c15,0.17494386390628552,0.20591673870660573,0.008005638793633946,0.203569028217609,0.1540294428886493,0.20419537633432747,0.0,0.19317130218790252,0.13806613577415341,0.09522988735551292,0.1864425941281222,0.15904976085104727,0.11816165347673521,0.1622475015780515,0.022313449679451872
c2,0.043112796881518034,0.04593899259986453,0.19538285544079106,0.0317614676094154,0.07801164479150532,0.059353040779162855,0.19317130218790252,0.0,0.09448466087276663,0.15102834888271605,0.01701356482636267,0.0669595490151766,0.12272036907383804,0.05959490666202955,0.18470035717852937
c11,0.06735330077634409,0.1009901842182116,0.13977254109947074,0.11240130014176272,0.02663270087283761,0.12621034423756983,0.13806613577415341,0.09448466087276663,0.0,0.07632954948601385,0.08560721317927406,0.04032751081828273,0.04009579539610866,0.05036865823672064,0.12609041318737166
c13,0.1258196966862179,0.16099097687750685,0.0949870352646269,0.16709610097938993,0.0958575195166891,0.1771141264449696,0.09522988735551292,0.15102834888271605,0.07632954948601385,0.0,0.14181331623460952,0.10498691585395571,0.041499789570602824,0.11165118788846085,0.07818719696499653
c3,0.0292101375232085,0.05215234603828708,0.18843898973739437,0.0474177194329211,0.06754103438385627,0.07191674844223934,0.1864425941281222,0.01701356482636267,0.08560721317927406,0.14181331623460952,0.0,0.05530128013589488,0.1139045998435745,0.04683561235886899,0.1773421760487967
c6,0.03256636245054108,0.07755194053739595,0.1609093599513707,0.08935628888239924,0.015722858443729282,0.10684877404473755,0.15904976085104727,0.0669595490151766,0.04032751081828273,0.10498691585395571,0.05530128013589488,0.0,0.07410189306441496,0.012608597768041567,0.14827529481863205
c12,0.09707331440951983,0.13073741365275401,0.11891753924798297,0.13936140201844263,0.06303841888409013,0.1513921931789002,0.11816165347673521,0.12272036907383804,0.04009579539610866,0.041499789570602824,0.1139045998435745,0.07410189306441496,0.0,0.08201835310009599,0.10366982431102302
c5,0.022024248127832352,0.0755508447857544,0.16419158919809812,0.08373062487970413,0.027602240344187554,0.1013805096947731,0.1622475015780515,0.05959490666202955,0.05036865823672064,0.11165118788846085,0.04683561235886899,0.012608597768041567,0.08201835310009599,0.0,0.1521588047708964
c14,0.16534823616867445,0.19682724968902512,0.02223712958449081,0.19620356082010154,0.14273664241618048,0.19873274794222778,0.022313449679451872,0.18470035717852937,0.12609041318737166,0.07818719696499653,0.1773421760487967,0.14827529481863205,0.10366982431102302,0.1521588047708964,0.0
