,c0,c1,c10,c11,c12,c13,c14,c15,c2,c3,c4,c5,c6,c7,c9,test
c0,0.0,0.0322,0.1149,0.1254,0.1509,0.1769,0.1985,0.2039,0.058,0.0713,0.0913,0.1012,0.1066,0.0757,0.2063,
c1,0.0322,0.0,0.0984,0.1119,0.1389,0.1666,0.1958,0.2034,0.0308,0.0462,0.0701,0.0832,0.0889,0.0482,0.2056,
c10,0.1149,0.0984,0.0,0.0249,0.0618,0.0955,0.1425,0.1538,0.0776,0.0671,0.0453,0.0265,0.0148,0.0849,0.1557,
c11,0.1254,0.1119,0.0249,0.0,0.0391,0.0745,0.1254,0.1379,0.0944,0.0854,0.0663,0.0484,0.038,0.1002,0.1394,
c12,0.1509,0.1389,0.0618,0.0391,0.0,0.0376,0.1026,0.1179,0.1225,0.1136,0.0967,0.0813,0.073,0.1303,0.1186,
c13,0.1769,0.1666,0.0955,0.0745,0.0376,0.0,0.0772,0.0945,0.1503,0.1411,0.1254,0.1113,0.1048,0.1608,0.0943,
c14,0.1985,0.1958,0.1425,0.1254,0.1026,0.0772,0.0,0.0181,0.1843,0.177,0.1649,0.1518,0.1481,0.1966,0.0175,
c15,0.2039,0.2034,0.1538,0.1379,0.1179,0.0945,0.0181,0.0,0.1931,0.1862,0.1749,0.162,0.1587,0.2058,0.0034,
c2,0.058,0.0308,0.0776,0.0944,0.1225,0.1503,0.1843,0.1931,0.0,0.0158,0.0419,0.0585,0.066,0.0447,0.1952,
c3,0.0713,0.0462,0.0671,0.0854,0.1136,0.1411,0.177,0.1862,0.0158,0.0,0.0274,0.0457,0.0544,0.0515,0.1883,
c4,0.0913,0.0701,0.0453,0.0663,0.0967,0.1254,0.1649,0.1749,0.0419,0.0274,0.0,0.0208,0.0312,0.0663,0.1769,
c5,0.1012,0.0832,0.0265,0.0484,0.0813,0.1113,0.1518,0.162,0.0585,0.0457,0.0208,0.0,0.012,0.0754,0.164,
c6,0.1066,0.0889,0.0148,0.038,0.073,0.1048,0.1481,0.1587,0.066,0.0544,0.0312,0.012,0.0,0.0773,0.1607,
c7,0.0757,0.0482,0.0849,0.1002,0.1303,0.1608,0.1966,0.2058,0.0447,0.0515,0.0663,0.0754,0.0773,0.0,0.2079,
c9,0.2063,0.2056,0.1557,0.1394,0.1186,0.0943,0.0175,0.0034,0.1952,0.1883,0.1769,0.164,0.1607,0.2079,0.0,
test,,,,,,,,,,,,,,,,
