,c0,c1,c10,c11,c12,c13,c14,c15,c2,c3,c4,c5,c6,c7,c9,test
c0,0.0,0.0318,0.1147,0.1253,0.1507,0.1767,0.1986,0.2042,0.058,0.071,0.091,0.101,0.1064,0.0751,0.2065,
c1,0.0318,0.0,0.0981,0.1116,0.1386,0.1664,0.196,0.2036,0.0307,0.0461,0.0695,0.0828,0.0886,0.048,0.2057,
c10,0.1147,0.0981,0.0,0.0249,0.0619,0.0954,0.1426,0.1541,0.0776,0.0669,0.0455,0.0265,0.0148,0.0841,0.1558,
c11,0.1253,0.1116,0.0249,0.0,0.0391,0.0743,0.1254,0.138,0.0944,0.0851,0.0665,0.0485,0.0381,0.0995,0.1395,
c12,0.1507,0.1386,0.0619,0.0391,0.0,0.0374,0.1026,0.118,0.1224,0.1134,0.0968,0.0814,0.0731,0.1297,0.1186,
c13,0.1767,0.1664,0.0954,0.0743,0.0374,0.0,0.0774,0.0947,0.1503,0.1411,0.1254,0.1114,0.1048,0.1605,0.0944,
c14,0.1986,0.196,0.1426,0.1254,0.1026,0.0774,0.0,0.0181,0.1846,0.1773,0.1652,0.1521,0.1483,0.1967,0.0174,
c15,0.2042,0.2036,0.1541,0.138,0.118,0.0947,0.0181,0.0,0.1935,0.1867,0.1752,0.1624,0.1591,0.2059,0.0034,
c2,0.058,0.0307,0.0776,0.0944,0.1224,0.1503,0.1846,0.1935,0.0,0.016,0.0415,0.0584,0.066,0.0441,0.1955,
c3,0.071,0.0461,0.0669,0.0851,0.1134,0.1411,0.1773,0.1867,0.016,0.0,0.0266,0.0453,0.0542,0.0513,0.1886,
c4,0.091,0.0695,0.0455,0.0665,0.0968,0.1254,0.1652,0.1752,0.0415,0.0266,0.0,0.0211,0.0315,0.065,0.1772,
c5,0.101,0.0828,0.0265,0.0485,0.0814,0.1114,0.1521,0.1624,0.0584,0.0453,0.0211,0.0,0.012,0.0746,0.1643,
c6,0.1064,0.0886,0.0148,0.0381,0.0731,0.1048,0.1483,0.1591,0.066,0.0542,0.0315,0.012,0.0,0.0767,0.1609,
c7,0.0751,0.048,0.0841,0.0995,0.1297,0.1605,0.1967,0.2059,0.0441,0.0513,0.065,0.0746,0.0767,0.0,0.208,
c9,0.2065,0.2057,0.1558,0.1395,0.1186,0.0944,0.0174,0.0034,0.1955,0.1886,0.1772,0.1643,0.1609,0.208,0.0,
test,,,,,,,,,,,,,,,,
