,c0,c1,c10,c11,c12,c13,c14,c15,c2,c3,c4,c5,c6,c7,c9,test
c0,0.0,0.0288,0.1121,0.1225,0.1457,0.1738,0.1959,0.2009,0.0548,0.0692,0.0884,0.0976,0.1053,0.0677,0.2032,0.1717
c1,0.0288,0.0,0.0956,0.1094,0.1346,0.1644,0.194,0.2008,0.0294,0.0458,0.0669,0.0794,0.0876,0.0443,0.203,0.1585
c10,0.1121,0.0956,0.0,0.0244,0.0589,0.0935,0.1412,0.152,0.0755,0.0646,0.0448,0.0261,0.014,0.078,0.1538,0.136
c11,0.1225,0.1094,0.0244,0.0,0.0366,0.0728,0.1242,0.1361,0.0926,0.0831,0.0654,0.0472,0.0368,0.0951,0.1375,0.129
c12,0.1457,0.1346,0.0589,0.0366,0.0,0.038,0.1024,0.117,0.1189,0.1097,0.0936,0.078,0.0696,0.1248,0.1176,0.1233
c13,0.1738,0.1644,0.0935,0.0728,0.038,0.0,0.0779,0.0947,0.1486,0.1392,0.1237,0.1094,0.1025,0.1576,0.0944,0.1311
c14,0.1959,0.194,0.1412,0.1242,0.1024,0.0779,0.0,0.0177,0.1826,0.1755,0.1637,0.1504,0.1467,0.1936,0.017,0.1623
c15,0.2009,0.2008,0.152,0.1361,0.117,0.0947,0.0177,0.0,0.1905,0.1839,0.173,0.1599,0.1568,0.2018,0.0035,0.1742
c2,0.0548,0.0294,0.0755,0.0926,0.1189,0.1486,0.1826,0.1905,0.0,0.017,0.0396,0.0556,0.0654,0.04,0.1927,0.1535
c3,0.0692,0.0458,0.0646,0.0831,0.1097,0.1392,0.1755,0.1839,0.017,0.0,0.0239,0.0422,0.0531,0.0481,0.186,0.1544
c4,0.0884,0.0669,0.0448,0.0654,0.0936,0.1237,0.1637,0.173,0.0396,0.0239,0.0,0.0207,0.032,0.0582,0.1751,0.1512
c5,0.0976,0.0794,0.0261,0.0472,0.078,0.1094,0.1504,0.1599,0.0556,0.0422,0.0207,0.0,0.0126,0.0672,0.1619,0.1474
c6,0.1053,0.0876,0.014,0.0368,0.0696,0.1025,0.1467,0.1568,0.0654,0.0531,0.032,0.0126,0.0,0.0716,0.1587,0.1425
c7,0.0677,0.0443,0.078,0.0951,0.1248,0.1576,0.1936,0.2018,0.04,0.0481,0.0582,0.0672,0.0716,0.0,0.204,0.1383
c9,0.2032,0.203,0.1538,0.1375,0.1176,0.0944,0.017,0.0035,0.1927,0.186,0.1751,0.1619,0.1587,0.204,0.0,0.1748
test,0.1717,0.1585,0.136,0.129,0.1233,0.1311,0.1623,0.1742,0.1535,0.1544,0.1512,0.1474,0.1425,0.1383,0.1748,0.0
