,c0,c1,c10,c11,c12,c13,c14,c15,c2,c3,c4,c5,c6,c7,c9
c0,0.0,0.0322,0.1149,0.1255,0.1509,0.17699999999999996,0.1985,0.204,0.058,0.0713,0.0913,0.1012,0.10659999999999999,0.0757,0.2064
c1,0.0322,0.0,0.0984,0.1119,0.1389,0.1666,0.1958,0.2034,0.030800000000000004,0.0462,0.0701,0.0832,0.08890000000000002,0.0482,0.2056
c10,0.1149,0.0984,0.0,0.024899999999999995,0.0617,0.0956,0.1425,0.1538,0.0776,0.0671,0.0453,0.0265,0.0148,0.08490000000000002,0.1557
c11,0.1255,0.1119,0.024899999999999995,0.0,0.039,0.0745,0.1254,0.1378,0.0944,0.08539999999999999,0.0663,0.04850000000000001,0.0381,0.1003,0.1394
c12,0.1509,0.1389,0.0617,0.039,0.0,0.0377,0.10259999999999998,0.1179,0.1224,0.11359999999999999,0.0966,0.0813,0.0729,0.1303,0.1186
c13,0.17699999999999996,0.1666,0.0956,0.0745,0.0377,0.0,0.0773,0.09449999999999999,0.1503,0.1412,0.1254,0.1114,0.1048,0.1608,0.0943
c14,0.1985,0.1958,0.1425,0.1254,0.10259999999999998,0.0773,0.0,0.0181,0.1843,0.17699999999999996,0.1649,0.1518,0.148,0.1966,0.0174
c15,0.204,0.2034,0.1538,0.1378,0.1179,0.09449999999999999,0.0181,0.0,0.19309999999999997,0.1863,0.17489999999999997,0.162,0.1587,0.2058,0.0034
c2,0.058,0.030800000000000004,0.0776,0.0944,0.1224,0.1503,0.1843,0.19309999999999997,0.0,0.0158,0.0419,0.0585,0.066,0.0447,0.1952
c3,0.0713,0.0462,0.0671,0.08539999999999999,0.11359999999999999,0.1412,0.17699999999999996,0.1863,0.0158,0.0,0.027399999999999997,0.0457,0.0544,0.0515,0.1883
c4,0.0913,0.0701,0.0453,0.0663,0.0966,0.1254,0.1649,0.17489999999999997,0.0419,0.027399999999999997,0.0,0.0208,0.031199999999999995,0.0663,0.17689999999999997
c5,0.1012,0.0832,0.0265,0.04850000000000001,0.0813,0.1114,0.1518,0.162,0.0585,0.0457,0.0208,0.0,0.012000000000000002,0.0754,0.164
c6,0.10659999999999999,0.08890000000000002,0.0148,0.0381,0.0729,0.1048,0.148,0.1587,0.066,0.0544,0.031199999999999995,0.012000000000000002,0.0,0.0773,0.1607
c7,0.0757,0.0482,0.08490000000000002,0.1003,0.1303,0.1608,0.1966,0.2058,0.0447,0.0515,0.0663,0.0754,0.0773,0.0,0.2079
c9,0.2064,0.2056,0.1557,0.1394,0.1186,0.0943,0.0174,0.0034,0.1952,0.1883,0.17689999999999997,0.164,0.1607,0.2079,0.0
